Kode,KodeSupplier,Nama,Harga,Satuan,Barcode
1000,4,MR SABUN MUTIARA 85 GR,13406.25,PCS  ,8.99515E+12
1003,40,SOKLIN SMART WHITE 800,17250,DOS  ,8.99887E+12
1004,31,NIVEA FAC SCRUB 100 GR,14113.75,PCS  ,8.99978E+12
1005,31,NIVEA GENTLE FAC.WASH 100,15682.5,PCS  ,8.99978E+12
1006,131,NIVEA GENTLE FCL SCRUB 40,6118.75,PCS  ,8.99978E+12
1010,19,DELFI BRIKO VAN 125 GR,6270,PCS  ,8.991E+12
1020,19,SELAMAT WFR CHOCO 198,6270,PCS  ,8.991E+12
1026,40,NUVO REFF KUNING/GOLD 250,7115,PCS  ,8.99887E+12
1027,40,NUVO REFF HIJAU 250,7187.5,PCS  ,8.99887E+12
1028,40,NUVO FAMILY MERAH   80G,1281.25,PCS  ,8.99887E+12
1029,40,NUVO FAMILY BIRU   80GR,1393.75,PCS  ,8.99887E+12
1030,40,NUVO FAMILY KNG 80GR,1393.75,PCS  ,8.99887E+12
1031,40,NUVO FAMILY HIJAU  80GR,1281.25,PCS  ,8.99887E+12
1032,40,SOKLIN SMART COLOUR SASET,2971.25,PCS  ,9E+12
1034,40,NUVO REFF MERAH 250ML,7187.5,PCS  ,8.99887E+12
1035,40,NUVO REFF PUTIH 250,7115,PCS  ,8.99887E+12
1037,40,BOOM JERUK NIPIS 1 KG,5625,PCS  ,9E+12
1038,40,NUVO FAMILY COOL,1393.75,PCS  ,8.99887E+12
1040,112,SEPATU GHEST 0901,10875,PCS  ,104
1041,A110      ,ROMA SARI GANDUM ROLL 149,3951.25,DOS  ,8.996E+12
1042,167,IMPERIAL BW ERIG  250,11825,PCS  ,9E+12
1046,174,DAHLIA REF CF ALL VAR K-241,10057.5,PCS  ,8.88601E+12
1051,A0015     ,MUKENA AL MADINAH TERUSAN,6460,PCS  ,                    
1056,172,HIT AER EXPERT BLOOM TEA 225,1082.5,PCS  ,8.99275E+12
1057,112,SEPATU KITANO KN,1662.5,PCS  ,1057
1059,2,SERENA EGG ROLL CHOCO55,9013.75,PCS  ,8.88817E+12
1060,40,FRES SB ORANGE 80,1300,PCS  ,8.99887E+12
108,54,MR.P KCG MADU R.25,1098.75,PACK ,8.99271E+12
1080,51,SHINZU`I HANA 90,2763.75,PCS  ,8.99295E+12
1081,51,SHINZU`I KIREI 90,2763.75,PCS  ,8.99295E+12
109,54,MR.P KCG BALADO R. 20,1098.75,PACK ,8.99271E+12
110,2,MONA KOPYOR,4562.5,DOS  ,8.88817E+12
1100,174,SEAGULL NAPTH 25 G/ SG-519/P,1150,PACK ,8.88601E+12
1102,A0110     ,CUSSONS B LOT FRESH&NOUR 200,1087.5,PCS  ,8.9981E+12
1104,40,SOKLIN MATIC FRONT LOAD 1KG,20000,DOS  ,8.99887E+12
1105,40,SOKLIN PRO/ POWER 900,15625,DOS  ,8.99887E+12
1106,40,SOKLIN HIGINIS 900,15625,DOS  ,8.99887E+12
1107,40,SOKLIN MATIC FRONT LOAD 2KG,39750,DOS  ,8.99887E+12
1108,40,SOKLIN PRO 320 GR,4487.5,PCS  ,8.99887E+12
1109,40,SOKLIN HIGINIS 380,4487.5,PCS  ,8.99887E+12
111,19,DELFI TWISTER M CKT 80,3891.25,PCS  ,8.991E+12
1110,40,SOKLIN HIGIENIS 6X29,2260,PCS  ,8.99887E+12
1111,A0111     ,TELUR AYAM NEGERI ISI 10,2260,PCS  ,1111
1112,172,POLYTEX SABUT SPON EXT,2385,PCS  ,8.99274E+12
1114,40,SOKLIN SOFTERGENT PINK 800,15625,DOS  ,8.99887E+12
1116,40,SOKLIN POWER 60 GR,1031.25,PCS  ,1116
112,19,BISA KHUSUS,2137.5,DOS  ,112
1120,40,SOKLIN SMART COLOUR 800,18000,DOS  ,8.99887E+12
1121,40,SOKLIN SMART CLEAN SASET,2971.25,PCS  ,8.99887E+12
113,19,CERES HGL CLASSIC 90,5747.5,PACK ,8.991E+12
114,19,CERES HGL FESTIVE 90,3327.5,PACK ,8.991E+12
1146,51,BUKRIM DET SAC 6X40G,2500,PCS  ,8.99334E+12
1147,51,SHINZU`I FACIAL WASH 40,6160,PCS  ,8.99295E+12
1149,51,SHINZU`I SAKURA 90,2763.75,PCS  ,8.99295E+12
115,19,DELFI CHA CHA WARNA 30,1870,BOX  ,8.991E+12
1150,19,OLAY BD WASH EXTSENSI 354,32051.25,PCS  ,9E+12
1152,40,WINGS BIRU 1/4 POT,1580,PCS  ,8.99887E+12
1153,40,WINGS WB900P POT,4458.75,PCS  ,8.99887E+12
1154,40,WINGS BIRU 1/2 POT,3125,PCS  ,8.99887E+12
1155,40,WINGS BIRU 500 K 209G,2250,DOS  ,8.99887E+12
1156,40,WINGS BIRU WB900 / 540GR,5450,DOS  ,8.99887E+12
1157,40,WINGS PORC HIJAU BTL 400,27031.25,PCS  ,8.99887E+12
1159,31,RESIK-V 90 SIRIH,5000,PCS  ,8.99342E+12
116,A0002     ,TURBO JAGUNG SAPI PANGG 75,2203.75,PCS  ,8.99317E+12
1160,51,SHINZU`I MYORI 90,2763.75,PCS  ,8.99887E+12
1162,172,HIT AER EXPERT BLOOM TEA 600,572.5,PCS  ,8.99275E+12
1163,16,FINNA DUA MENARA 1 KG,10175,PCS  ,8.99182E+12
1165,A0012     ,KWACI RE-BO GREEN TEA 150,8312.5,PCS  ,8.99511E+12
1166,67,L`AGIE GOODDAY PANDAN,12093.75,PCS  ,8.99296E+12
117,54,MR.P KCG MENTE MADU 40,5701.25,PCS  ,8.99271E+12
1173,A0098     ,WRD EXCL MATTE LIP C 05 4GR,1253.75,PCS  ,8.99314E+12
118,54,MR.P KCG MENTE ASIN 40,5701.25,PCS  ,8.99271E+12
1180,158,TIM TAM SMALL WFR 11,5500,PCS  ,8.88602E+12
1185,90,ALKALINE LR-03 (ISI 2),7936.25,LSN  ,8.88602E+12
1187,90,BATERAI ABC TGG R-14 ISI 2,1910,PCS  ,8.88602E+12
1188,A0034     ,EVEREADY BSR 1050 SW2 - 2S,6802.5,PCS  ,8.999E+12
1189,A0034     ,EVEREADY A2 MRH 4`S/1015,2857.5,PCS  ,8.999E+12
119,A0002     ,SIMBA RILLAS BAG 50,3725,PCS  ,8.99317E+12
1191,A0049     ,TURBO JAGUNG SWEET SPICY,2203.75,PCS  ,8.99317E+12
1193,90,BATERAI ABC BESAR R-20_1`S,3500,PCS  ,3333333333
1194,90,BATERAI ABC KECIL R-6,1450,LSN  ,8.88602E+12
1197,A0012     ,PIATOS DUO DGG BKR-NORI 506,1196.25,PCS  ,8.9962E+12
120,A0002     ,SIMBA TUFFIS COKLAT 50,3253.75,PCS  ,8.99317E+12
1202,185,SIDO MULIA KOPI KNG 250,11875,KG   ,1202
1203,26,SAMPOERNA MILD MENTOL 12,5375,PCS  ,8.99991E+12
1204,26,DJISAMSOE SUP PREM REF 12,13578.75,SLOP ,8.99991E+12
1205,27,PALL MALL LIGHT MENTOL,5562.5,SLOP ,8.99479E+12
1206,131,JELYGAR JERUK,2083.75,PCS  ,8.99402E+12
1207,31,OVALE FACE PAPER 100 LBR,3731.25,PCS  ,8.99342E+12
1208,173,KEPALA JENGGOT TEH 40G,1375,PCS  ,8.9928E+12
1209,19,HELLO PANDA ALL VARIANT 12 G,1310,BOX  ,8.9945E+12
1210,A0110     ,CUSSONS KIDS SHP B&S 100ML,4008.75,PCS  ,8.9981E+12
122,54,MR.P KACANG MENTE ASIN 80,12552.5,PCS  ,8.99271E+12
1220,194,ABC WHITE COFFEE INSTAN 5+1,2552.5,DOS  ,8.991E+12
1221,19,ABC CAPUCINI COFFE CR,2552.5,PCS  ,7.11844E+11
1222,19,ABC CAPUCINI CHOCOLATE 200,2552.5,PCS  ,7.11844E+11
1226,19,ABC SPC G SUSU 625 ML,12553.75,DOS  ,7.11844E+11
1228,12,SOSRO GREEN TEA MD LMN200,1901.25,PCS  ,8.99601E+12
1229,A0106     ,ABC JUICE SIRSAK 250ML,3157.5,DOS  ,7.11844E+11
1230,A0106     ,ABC JUICE SLIM APPLE 250,3172.5,PCS  ,7.11844E+11
1231,A0106     ,ABC JUICE SLIM JAMBU 250,3172.5,PCS  ,7.11844E+11
1232,A0106     ,ABC JUICE SLIM LYCHE 250,3157.5,PCS  ,7.11844E+11
1233,A0106     ,ABC JUICE SLIM MGG 250ML,3172.5,PCS  ,7.11844E+11
1234,A0106     ,ABC JUICE SLIM ORG 250ML,3157.5,PCS  ,7.11844E+11
1235,A0106     ,ABC KC HIJAU 200ML KHKS,2080,DOS  ,7.11844E+11
1236,A0106     ,ABC KC HIJAU 250 KHBS,2541.25,DOS  ,7.11844E+11
1237,A0098     ,WRD EXCL MATTE LIP C 11 4GR,1253.75,PCS  ,8.99314E+12
124,176,GERY WFR CREAM CKT 80,2303.75,PCS  ,8.99278E+12
1242,A0106     ,ABC SARI ASAM/TAMARIND 250,3078.75,DOS  ,7.11844E+11
1244,19,ABC SQUASH LYCHEE 580,9752.5,DOS  ,7.11844E+11
1245,19,ABC SQUASH MANGGA 580,9752.5,DOS  ,7.11844E+11
1246,19,ABC SQUASH ORANGE 580 ML,9752.5,DOS  ,7.11844E+11
